VistaOrder,SourceFile,Date,CustomerID,Status,ImportedAt
791953,791953.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791955,791955.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791954,791954.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791965,791965.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791964,791964.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791967,791967.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791966,791966.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791968,791968.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791969,791969.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791970,791970.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791971,791971.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791972,791972.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791973,791973.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791974,791974.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791976,791976.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791975,791975.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791977,791977.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791979,791979.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791980,791980.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791978,791978.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791982,791982.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791981,791981.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791984,791984.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791983,791983.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791994,791994.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792005,792005.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792006,792006.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791985,791985.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
791996,791996.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792004,792004.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792007,792007.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792008,792008.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792009,792009.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792010,792010.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792011,792011.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792017,792017.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792019,792019.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792021,792021.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792031,792031.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792022,792022.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792045,792045.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792047,792047.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792034,792034.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792051,792051.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792048,792048.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792050,792050.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792049,792049.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792054,792054.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792056,792056.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792055,792055.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792057,792057.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792059,792059.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792060,792060.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792062,792062.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792082,792082.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792083,792083.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792071,792071.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792085,792085.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792080,792080.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792084,792084.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792088,792088.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792089,792089.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792092,792092.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792090,792090.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792093,792093.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792091,792091.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792094,792094.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792095,792095.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792096,792096.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792098,792098.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792099,792099.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792102,792102.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792101,792101.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792097,792097.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792103,792103.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792104,792104.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792108,792108.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792106,792106.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792107,792107.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792111,792111.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792110,792110.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792109,792109.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792113,792113.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792112,792112.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792116,792116.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792115,792115.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792117,792117.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.604Z
792118,792118.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792119,792119.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792121,792121.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792120,792120.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792123,792123.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792124,792124.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792122,792122.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792125,792125.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792126,792126.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792128,792128.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792129,792129.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792127,792127.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792132,792132.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792133,792133.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792146,792146.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792135,792135.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792130,792130.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792153,792153.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792156,792156.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792154,792154.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792157,792157.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792155,792155.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792159,792159.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792160,792160.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792162,792162.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792163,792163.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792164,792164.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792166,792166.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792165,792165.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792168,792168.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792169,792169.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792167,792167.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792170,792170.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792171,792171.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792172,792172.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792173,792173.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792175,792175.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792174,792174.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792180,792180.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
